	Word	PoS	FrSp		LL	FrWr
	hand	NoC	221	-	576.7	358
	says	Verb	740	+	2804.6	358
	water	NoC	278	-	180.8	358
	such   as	Prep	43	-	4252.5	354
	night	NoC	465	+	292.9	354
	look	Verb	1123	+	9310.3	353
	already	Adv	267	-	210.6	352
	area	NoC	356	+	0.8	351
	set	Verb	174	-	1025.6	350
	asked	Verb	218	-	528.2	348
	things	NoC	1103	+	9183.8	346
	development	NoC	142	-	1471.4	345
	left	Verb	278	-	125.4	343
	money	NoC	637	+	1818.7	343
	long	Adj	365	+	13.6	342
	having	Verb	452	+	299.2	341
	yet	Adv	307	-	32.0	341
	home	NoC	237	-	331.2	340
	power	NoC	130	-	1621.7	340
	perhaps	Adv	444	+	271.3	339
	almost	Adv	118	-	1831.4	339
	point	NoC	637	+	1887.5	338
	quite	Adv	1050	+	8435.6	338
	himself	Pron	87	-	2542.2	337
	really	Adv	1727	+	24300.2	337
	John	NoP	260	-	172.3	336
	use	NoC	99	-	2204.7	334
	nothing	Pron	403	+	125.1	333
	later	Adv	179	-	809.4	333
	political	Adj	71	-	2928.7	333
	called	Verb	306	-	20.3	332
	country	NoC	204	-	538.0	332
	days	NoC	318	-	5.2	332
	young	Adj	180	-	772.4	330
	side	NoC	374	+	51.4	330
	become	Verb	109	-	1866.2	326
	both	DetP	189	-	626.5	324
	eyes	NoC	63	-	3032.6	324
	whether	Conj	413	+	214.7	322
	far	Adv	229	-	269.5	320
	room	NoC	233	-	235.5	318
	general	Adj	162	-	882.1	317
	since	Conj	112	-	1681.3	316
	together	Adv	262	-	84.3	313
	service	NoC	204	-	395.4	312
	need	Verb	749	+	3967.2	310
	court	NoC	94	-	1961.8	307
	public	Adj	102	-	1762.4	306
	members	NoC	224	-	222.4	305
	market	NoC	135	-	1147.1	305
	towards	Prep	123	-	1331.3	305
	before	Conj	316	+	4.4	304
	face	NoC	103	-	1704.3	303
	use	Verb	455	+	605.8	303
	five	Num	1308	+	15609.6	303
	held	Verb	56	-	2920.4	302
	others	NoC	126	-	1235.2	301
	council	NoC	424	+	413.2	300
	able	Adj	339	+	45.9	300
	felt	Verb	106	-	1567.3	298
	times	NoC	284	-	2.4	293
	war	NoC	170	-	556.9	291
	available	Adj	104	-	1531.5	291
	law	NoC	88	-	1863.2	291
	full	Adj	206	-	250.2	290
	police	NoC	186	-	396.5	288
	interest	NoC	133	-	1000.4	288
	done	Verb	931	+	7898.7	288
	week	NoC	631	+	2765.9	286
	'd	Verb	577	+	2075.1	285
	of course	Adv	543	+	1695.7	283
	problem	NoC	348	+	126.3	283
	early	Adj	103	-	1442.5	283
	form	NoC	133	-	921.3	282
	problems	NoC	220	-	134.8	281
	research	NoC	59	-	2461.7	279
	3	Num	6	-	4900.3	279
	right	Adj	1019	+	10192.7	277
	education	NoC	115	-	1148.6	277
	help	Verb	239	-	50.0	276
	though	Conj	5	-	4885.8	273
	best	Adj	217	-	114.5	272
	body	NoC	109	-	1217.2	272
	knew	Verb	168	-	431.0	271
	mother	NoC	184	-	299.3	271
	Britain	NoP	77	-	1857.7	271
	making	Verb	224	-	73.4	269
	at   least	Adv	165	-	432.6	268
	saw	Verb	206	-	146.9	268
	office	NoC	168	-	400.1	267
	car	NoC	379	+	381.2	267
	road	NoC	336	+	154.0	266
	tell	Verb	668	+	3824.7	265
	policy	NoC	223	-	63.6	264
	turned	Verb	100	-	1269.4	263
	began	Verb	25	-	3462.2	262
	services	NoC	138	-	668.6	262
	thing	NoC	1136	+	13670.5	261
	little	Adj	700	+	4476.2	261
	several	DetP	64	-	2057.7	260
	like	Verb	1070	+	12162.3	260
	seemed	Verb	60	-	2144.8	259
	period	NoC	111	-	1020.2	258
	main	Adj	133	-	695.7	258
	less	Adv	119	-	888.3	258
	minister	NoC	56	-	2249.8	258
	child	NoC	130	-	725.1	257
	using	Verb	157	-	430.2	257
	health	NoC	154	-	452.1	257
	ever	Adv	275	+	12.0	257
	economic	Adj	53	-	2315.7	257
